TYPE,SEQUENCE,FILENAME,DESCRIPTION
10-K,1,tsla-20251231.htm,10-K
EX-4.17,2,tsla-2025x12x31xex417.htm,EX-4.17
EX-10.9,3,tsla-2025x12x31xex109.htm,EX-10.9
EX-10.10,4,tsla-2025x12x31xex1010.htm,EX-10.10
EX-21.1,5,tsla-2025x12x31xex211.htm,EX-21.1
EX-23.1,6,tsla-2025x12x31xex231.htm,EX-23.1
EX-31.1,7,tsla-2025x12x31xex311.htm,EX-31.1
EX-31.2,8,tsla-2025x12x31xex312.htm,EX-31.2
EX-32.1,9,tsla-2025x12x31xex321.htm,EX-32
EX-101.SCH,10,tsla-20251231.xsd,XBRL TAXONOMY EXTENSION SCHEMA DOCUMENT
EX-101.CAL,11,tsla-20251231_cal.xml,XBRL TAXONOMY EXTENSION CALCULATION LINKBASE DOCUMENT
EX-101.DEF,12,tsla-20251231_def.xml,XBRL TAXONOMY EXTENSION DEFINITION LINKBASE DOCUMENT
EX-101.LAB,13,tsla-20251231_lab.xml,XBRL TAXONOMY EXTENSION LABEL LINKBASE DOCUMENT
EX-101.PRE,14,tsla-20251231_pre.xml,XBRL TAXONOMY EXTENSION PRESENTATION LINKBASE DOCUMENT
GRAPHIC,15,tsla-20251231_g1.jpg,
XML,17,R1.htm,IDEA: XBRL DOCUMENT
XML,18,R2.htm,IDEA: XBRL DOCUMENT
XML,19,R3.htm,IDEA: XBRL DOCUMENT
XML,20,R4.htm,IDEA: XBRL DOCUMENT
XML,21,R5.htm,IDEA: XBRL DOCUMENT
XML,22,R6.htm,IDEA: XBRL DOCUMENT
XML,23,R7.htm,IDEA: XBRL DOCUMENT
XML,24,R8.htm,IDEA: XBRL DOCUMENT
XML,25,R9.htm,IDEA: XBRL DOCUMENT
XML,26,R10.htm,IDEA: XBRL DOCUMENT
XML,27,R11.htm,IDEA: XBRL DOCUMENT
XML,28,R12.htm,IDEA: XBRL DOCUMENT
XML,29,R13.htm,IDEA: XBRL DOCUMENT
XML,30,R14.htm,IDEA: XBRL DOCUMENT
XML,31,R15.htm,IDEA: XBRL DOCUMENT
XML,32,R16.htm,IDEA: XBRL DOCUMENT
XML,33,R17.htm,IDEA: XBRL DOCUMENT
XML,34,R18.htm,IDEA: XBRL DOCUMENT
XML,35,R19.htm,IDEA: XBRL DOCUMENT
XML,36,R20.htm,IDEA: XBRL DOCUMENT
XML,37,R21.htm,IDEA: XBRL DOCUMENT
XML,38,R22.htm,IDEA: XBRL DOCUMENT
